Designator,Mid X,Mid Y,Rotation,Layer
2N7002,78.4908,-93.3047,270.0,top
AO3401A,78.4908,-86.2587,270.0,top
BMP180-EXT,104.14,-96.478,0.0,top
BMP180-INT,104.14,-89.0016,0.0,top
D1 1N4004,87.884,-33.02,270.0,top
D2 1N4004,87.884,-51.308,270.0,top
D3 1N4004,87.884,-69.596,270.0,top
DS1302,19.2,-86.95,0.0,top
GENERIC I2C-1,92.0,-81.75,0.0,top
GENERIC I2C-2,92.0,-89.0,0.0,top
GENERIC I2C-3,92.0,-96.5,0.0,top
POWER IN,84.153,-16.7132,0.0,top
Q1 2N2222,83.058,-26.797,0.0,top
Q2 2N2222,83.058,-45.085,0.0,top
Q3 2N2222,83.058,-63.373,0.0,top
R1 1KΩ,82.804,-34.798,90.0,top
R2 1KΩ,82.804,-53.086,90.0,top
R3 1KΩ,82.804,-71.374,90.0,top
R4 100KΩ,72.9028,-84.0392,90.0,top
R5 100Ω,72.9028,-93.9038,270.0,top
R6 100KΩ,82.25,-94.25,90.0,top
RELAYS,95.9612,-16.722,0.0,top
RLY1,98.614,-31.567,0.0,top
RLY2,98.614,-49.855,0.0,top
RLY3,98.614,-68.143,0.0,top
SD CARD MODULE,20.6,-63.2,180.0,top
SENSOR MODULE,65.0,-16.51,0.0,top
TSL2561,104.14,-81.788,0.0,top
