Designator,Footprint,Quantity,Value,LCSC Part #
2N7002,SOT-23-3,1,SOT-23-3,
AO3401A,SOT-23,1,SOT-23,
"BMP180-EXT, BMP180-INT, GENERIC I2C-1, GENERIC I2C-2, GENERIC I2C-3, POWER IN, TSL2561",JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,7,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,
"D1 1N4004, D2 1N4004, D3 1N4004",D_DO-41_SOD81_P10.16mm_Horizontal,3,D_DO-41_SOD81_P10.16mm_Horizontal,
DS1302,DS1302,1,DS1302,
"Q1 2N2222, Q2 2N2222, Q3 2N2222",TO-92,3,TO-92,
"R1 1KΩ, R2 1KΩ, R3 1KΩ, R4 100KΩ, R5 100Ω, R6 100KΩ",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,
RELAYS,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,
"RLY1, RLY2, RLY3",Relay_SPDT_SANYOU_SRD_Series_Form_C,3,Relay_SPDT_SANYOU_SRD_Series_Form_C,
SENSOR MODULE,JST_PH_B10B-PH-K_1x10_P2.00mm_Vertical,1,JST_PH_B10B-PH-K_1x10_P2.00mm_Vertical,
TF CARD,MICROSD,1,MICROSD,
